STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T21:00:00,21.9,48,34.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T22:00:00,21,46.9,34
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T23:00:00,19.9,46.9,33.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T00:00:00,19,44.1,32.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T01:00:00,19,45,32.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T02:00:00,19,44.1,32.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T03:00:00,19,44.1,32.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T04:00:00,18,44.1,32.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T05:00:00,18,44.1,31.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T06:00:00,17.1,44.1,31.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T07:00:00,18,44.1,31.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T08:00:00,17.1,44.1,31.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T09:00:00,18,45,32.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T10:00:00,19,46,33.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T11:00:00,19.9,46.9,34.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T12:00:00,21,48,35.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T13:00:00,21.9,48.9,36.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T14:00:00,23,50,36.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T15:00:00,24.1,50,37.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T16:00:00,24.1,50,37
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T17:00:00,23,48.9,36.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T18:00:00,23,48,35.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T19:00:00,21.9,48,35.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T20:00:00,21.9,48,34.8
